# Residuals   
# Time        	Ux            	Uy            	Uz            	p             
0             	N/A           	N/A           	N/A           	N/A           
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	2.780451e-01	5.111359e-01	5.112375e-01	6.677597e-01
3             	1.330993e-01	2.404455e-01	2.402185e-01	6.355396e-01
4             	5.117465e-02	8.410466e-02	8.427963e-02	4.361173e-01
5             	5.137928e-02	1.126703e-01	1.130161e-01	5.477824e-01
6             	4.988785e-02	1.331338e-01	1.330207e-01	5.369018e-01
7             	4.048418e-02	7.914995e-02	7.934842e-02	3.731465e-01
8             	3.923822e-02	9.407584e-02	9.425842e-02	3.183953e-01
9             	2.578422e-02	8.040092e-02	8.038152e-02	3.776014e-01
10            	1.795728e-02	5.839330e-02	5.874353e-02	5.626700e-01
11            	2.010978e-02	4.036246e-02	4.057007e-02	4.811293e-01
12            	1.913681e-02	3.128686e-02	3.141576e-02	3.977929e-01
13            	1.473923e-02	2.564561e-02	2.581754e-02	5.115978e-01
14            	1.111151e-02	2.639196e-02	2.650138e-02	2.986703e-01
15            	1.016777e-02	2.630166e-02	2.633876e-02	1.830532e-01
16            	9.844597e-03	2.562043e-02	2.570698e-02	1.634439e-01
17            	8.862799e-03	1.945146e-02	1.950633e-02	1.769631e-01
18            	8.348872e-03	1.357611e-02	1.360626e-02	1.923921e-01
19            	8.333171e-03	1.331748e-02	1.337377e-02	1.995306e-01
20            	8.173239e-03	1.378485e-02	1.381692e-02	1.877615e-01
21            	7.582471e-03	1.336690e-02	1.336650e-02	1.383463e-01
22            	7.039214e-03	1.245126e-02	1.244813e-02	9.847646e-02
23            	6.482814e-03	1.032403e-02	1.033158e-02	7.845685e-02
24            	6.052260e-03	9.021117e-03	9.025112e-03	6.565424e-02
25            	5.703991e-03	9.326354e-03	9.328170e-03	5.714493e-02
26            	5.502406e-03	9.790457e-03	9.785598e-03	5.317121e-02
27            	5.390769e-03	9.619705e-03	9.603826e-03	5.062728e-02
28            	5.378433e-03	8.745651e-03	8.727187e-03	4.628534e-02
29            	5.309455e-03	7.627831e-03	7.610615e-03	4.139552e-02
30            	5.162755e-03	6.858577e-03	6.847972e-03	3.499938e-02
31            	4.886042e-03	6.524217e-03	6.514230e-03	2.991950e-02
32            	4.636139e-03	6.525905e-03	6.516162e-03	2.599583e-02
33            	4.424703e-03	6.436608e-03	6.424290e-03	2.309175e-02
34            	4.317034e-03	6.233945e-03	6.218020e-03	2.102983e-02
35            	4.204008e-03	5.798001e-03	5.781785e-03	1.963111e-02
36            	4.136216e-03	5.477268e-03	5.464095e-03	1.853032e-02
37            	4.036137e-03	5.162449e-03	5.149189e-03	1.769889e-02
38            	3.943873e-03	4.969329e-03	4.953753e-03	1.614027e-02
39            	3.800723e-03	4.691129e-03	4.672500e-03	1.478750e-02
40            	3.691027e-03	4.529292e-03	4.512120e-03	1.369949e-02
41            	3.564666e-03	4.310968e-03	4.296538e-03	1.291879e-02
42            	3.469238e-03	4.213024e-03	4.200572e-03	1.164650e-02
43            	3.350726e-03	4.018414e-03	4.006253e-03	1.096528e-02
44            	3.271736e-03	3.932977e-03	3.921031e-03	1.055075e-02
45            	3.182041e-03	3.746978e-03	3.735347e-03	1.093576e-02
46            	3.110738e-03	3.648700e-03	3.636899e-03	1.029906e-02
47            	2.994123e-03	3.425524e-03	3.411033e-03	9.714187e-03
48            	2.910371e-03	3.339746e-03	3.327162e-03	9.283780e-03
49            	2.812917e-03	3.193384e-03	3.183283e-03	9.034077e-03
50            	2.742467e-03	3.159768e-03	3.151389e-03	8.676558e-03
51            	2.654352e-03	3.038777e-03	3.029989e-03	8.872210e-03
52            	2.589090e-03	3.000423e-03	2.991923e-03	8.422242e-03
53            	2.488213e-03	2.834614e-03	2.825408e-03	8.020297e-03
54            	2.423453e-03	2.788606e-03	2.778618e-03	7.925717e-03
55            	2.350031e-03	2.674382e-03	2.664345e-03	8.398508e-03
56            	2.294069e-03	2.651815e-03	2.641989e-03	7.981155e-03
57            	2.188522e-03	2.485920e-03	2.478565e-03	7.274118e-03
58            	2.125082e-03	2.461136e-03	2.452304e-03	7.273307e-03
59            	2.060233e-03	2.390091e-03	2.381575e-03	7.758163e-03
60            	2.012155e-03	2.394879e-03	2.384717e-03	7.409295e-03
61            	1.919864e-03	2.256462e-03	2.246770e-03	7.009723e-03
62            	1.865560e-03	2.240137e-03	2.232840e-03	6.927824e-03
63            	1.805278e-03	2.158648e-03	2.150783e-03	7.470512e-03
64            	1.761302e-03	2.160181e-03	2.151558e-03	6.947676e-03
65            	1.672502e-03	2.016746e-03	2.007648e-03	6.403389e-03
66            	1.624536e-03	2.011857e-03	2.002723e-03	6.336255e-03
67            	1.572190e-03	1.946695e-03	1.937327e-03	6.789838e-03
68            	1.536345e-03	1.967483e-03	1.957702e-03	6.475208e-03
69            	1.458284e-03	1.837327e-03	1.827424e-03	5.980886e-03
70            	1.417583e-03	1.839073e-03	1.830469e-03	6.165761e-03
71            	1.371723e-03	1.768663e-03	1.760351e-03	6.621645e-03
72            	1.342095e-03	1.782142e-03	1.773584e-03	6.110047e-03
