# Residuals   
# Time        	Ux            	Uy            	Uz            	p             
0             	N/A           	N/A           	N/A           	N/A           
1             	1.000000e+00	1.000000e+00	1.000000e+00	1.000000e+00
2             	3.283075e-01	5.597256e-01	5.598438e-01	5.467358e-01
3             	1.363696e-01	2.134085e-01	2.131057e-01	6.791455e-01
4             	4.027776e-02	6.126107e-02	6.164684e-02	4.078877e-01
5             	8.216505e-02	2.283095e-01	2.289138e-01	5.900734e-01
6             	5.340333e-02	1.570415e-01	1.564951e-01	7.075396e-01
7             	3.630637e-02	1.008811e-01	1.013117e-01	3.297557e-01
8             	4.260361e-02	1.240421e-01	1.239323e-01	4.750236e-01
9             	2.286327e-02	4.332833e-02	4.342755e-02	6.198639e-01
10            	2.115693e-02	4.914830e-02	4.952332e-02	2.746396e-01
11            	1.988279e-02	5.681797e-02	5.681279e-02	4.844795e-01
12            	1.162843e-02	1.617170e-02	1.636639e-02	3.579551e-01
13            	1.427036e-02	4.009119e-02	4.023910e-02	2.037808e-01
14            	1.137196e-02	3.164154e-02	3.157375e-02	3.009115e-01
15            	7.856725e-03	1.630654e-02	1.649137e-02	3.618283e-01
16            	8.413268e-03	1.841562e-02	1.849689e-02	2.194678e-01
17            	6.917292e-03	1.154958e-02	1.152242e-02	2.792131e-01
18            	6.761337e-03	1.026898e-02	1.033521e-02	1.440919e-01
19            	6.748133e-03	1.493959e-02	1.496238e-02	1.053758e-01
20            	5.560641e-03	1.119281e-02	1.122570e-02	1.261935e-01
21            	4.988331e-03	9.109717e-03	9.167784e-03	1.162479e-01
22            	4.944404e-03	7.595222e-03	7.600706e-03	1.022900e-01
23            	4.762870e-03	6.264326e-03	6.262588e-03	7.687267e-02
24            	4.694485e-03	7.301802e-03	7.313670e-03	5.404464e-02
25            	4.395676e-03	7.668060e-03	7.666841e-03	4.675719e-02
26            	4.031333e-03	6.934062e-03	6.943165e-03	4.305690e-02
27            	3.876412e-03	6.163966e-03	6.170928e-03	3.921706e-02
28            	3.789254e-03	5.567812e-03	5.565018e-03	3.353787e-02
29            	3.709634e-03	5.507062e-03	5.508508e-03	2.636376e-02
30            	3.605754e-03	5.661658e-03	5.660986e-03	2.417843e-02
31            	3.456622e-03	5.549887e-03	5.546829e-03	2.258317e-02
32            	3.327638e-03	5.234841e-03	5.233248e-03	1.969384e-02
33            	3.226938e-03	4.936510e-03	4.935037e-03	1.809494e-02
34            	3.147021e-03	4.770826e-03	4.770692e-03	1.581526e-02
35            	3.077695e-03	4.709083e-03	4.708862e-03	1.457633e-02
36            	3.003249e-03	4.644441e-03	4.642859e-03	1.438531e-02
37            	2.925344e-03	4.523475e-03	4.521750e-03	1.365063e-02
38            	2.847224e-03	4.374265e-03	4.373098e-03	1.273013e-02
39            	2.775600e-03	4.240623e-03	4.239700e-03	1.193811e-02
40            	2.714483e-03	4.137353e-03	4.136517e-03	1.096439e-02
41            	2.658310e-03	4.062289e-03	4.061107e-03	1.057600e-02
42            	2.601429e-03	4.002012e-03	4.000669e-03	1.041747e-02
43            	2.541848e-03	3.946911e-03	3.945775e-03	1.119869e-02
44            	2.497766e-03	3.760361e-03	3.758925e-03	1.070437e-02
45            	2.455808e-03	3.582789e-03	3.580784e-03	9.598812e-03
46            	2.409925e-03	3.497025e-03	3.495152e-03	9.119607e-03
47            	2.362307e-03	3.472486e-03	3.471080e-03	8.525810e-03
48            	2.317419e-03	3.437550e-03	3.436380e-03	8.133226e-03
49            	2.276421e-03	3.355281e-03	3.354056e-03	8.047615e-03
50            	2.237970e-03	3.253604e-03	3.252253e-03	7.731313e-03
51            	2.200495e-03	3.166778e-03	3.165426e-03	7.471667e-03
52            	2.163366e-03	3.106352e-03	3.105143e-03	7.866711e-03
53            	2.135029e-03	2.954962e-03	2.954110e-03	7.464097e-03
54            	2.104640e-03	2.840581e-03	2.840031e-03	6.981625e-03
55            	2.070017e-03	2.809039e-03	2.808493e-03	6.913525e-03
56            	2.035259e-03	2.810269e-03	2.809618e-03	6.724249e-03
57            	2.003540e-03	2.783485e-03	2.782808e-03	6.667448e-03
58            	1.974840e-03	2.714753e-03	2.714108e-03	6.551281e-03
59            	1.947048e-03	2.635852e-03	2.635314e-03	6.245451e-03
60            	1.918698e-03	2.577073e-03	2.576620e-03	5.969394e-03
61            	1.890091e-03	2.539958e-03	2.539476e-03	5.762828e-03
62            	1.862448e-03	2.504728e-03	2.504169e-03	5.636197e-03
63            	1.836188e-03	2.457993e-03	2.457428e-03	5.529014e-03
64            	1.810872e-03	2.403742e-03	2.403220e-03	5.421720e-03
65            	1.785911e-03	2.352593e-03	2.352118e-03	5.288200e-03
66            	1.761165e-03	2.308840e-03	2.308401e-03	5.176762e-03
67            	1.736865e-03	2.268684e-03	2.268278e-03	5.072476e-03
68            	1.713153e-03	2.227088e-03	2.226694e-03	4.995565e-03
69            	1.690121e-03	2.183367e-03	2.182976e-03	4.946642e-03
70            	1.667608e-03	2.139838e-03	2.139480e-03	4.918003e-03
71            	1.645445e-03	2.098944e-03	2.098634e-03	4.870720e-03
72            	1.623652e-03	2.060270e-03	2.060020e-03	4.809761e-03
